plz,name,lat,long,ev_count,population,area
97483,Eltmann,49.9588836561,10.6686416005,0,5297,40.752882
21354,Bleckede,53.2913611537,10.7281858411,4,9521,123.574748
23558,Lübeck,53.8561537278,10.657451517,4,26615,4.849287
29584,Himbergen,53.1043158999,10.7192667892,0,1771,39.904909
91590,Bruckberg,49.3499252647,10.69126209,0,1316,7.633891
86486,Bonstetten,48.4425576639,10.7118059527,0,1217,6.801967
86869,Oberostendorf,47.9488243346,10.7465418044,0,1315,21.047425
96184,Rentweinsdorf,50.0544382693,10.7937028643,0,1554,24.645336
96194,Walsdorf,49.875344662,10.7727592775,0,2554,16.200544
29413,"Dähre, Diesdorf, Wallstawe",52.7790732814,10.8885895979,1,4980,224.58045
86859,Igling,48.0661722043,10.80662354,1,2447,26.342133
86987,Schwabsoien,47.8397758653,10.8104458438,0,1290,16.947023
90556,Cadolzburg,49.4588152051,10.8495467974,7,13416,53.820806
38474,Tülau,52.5803025528,10.8744033048,0,1530,23.523087
86511,Schmiechen,48.2271260674,10.9467127553,0,1233,13.554104
29410,Salzwedel,52.8416073249,11.1420381359,10,24755,306.159831
82442,Saulgrub,47.6337853888,10.989726089,3,1613,35.52113
86643,Rennertshofen,48.7731601154,11.0478394406,0,4779,93.079563
91807,Solnhofen,48.8975329103,11.0013328285,0,1712,16.01585
96123,Litzendorf,49.9150746156,11.0393708709,0,6021,25.865578
86554,Pöttmes,48.573007693,11.0677699672,1,6280,82.665136
86666,Burgheim,48.6908451136,11.0384430072,0,4513,49.745134
90431,Nürnberg,49.4454445729,11.0216920005,5,17861,8.01134
91330,Eggolsheim,49.7850420753,11.0878088227,5,6407,48.813163
86551,Aichach,48.4454105958,11.1236391504,2,20253,92.783377
91094,Langensendelbach,49.6396774881,11.0633083159,0,2913,9.593143
4910,Elsterwerda,51.465059872,13.5219219726,1,8611,41.378492
15738,Zeuthen,52.345309018,13.6127595619,3,10568,12.74003
15746,Groß Köris,52.1635682048,13.6920206346,1,2255,68.516514
1169,Dresden,51.0396231327,13.6666926856,1,19091,4.855455
1159,Dresden,51.0434242966,13.697700668,0,27666,5.920703
94089,Neureichenau,48.7538430105,13.7655717679,3,4323,59.396819
1731,Kreischa,50.9486544728,13.7567556944,0,4365,28.931748
15370,"Fredersdorf-Vogelsdorf, Petershagen",52.5184542083,13.7638687238,5,20762,27.659262
15562,Rüdersdorf,52.4725437533,13.796611653,2,9724,38.354051
1259,Dresden,50.995525129,13.8475627888,0,19007,10.373223
1324,Dresden,51.0601301256,13.8462512571,0,8874,4.629564
91796,Ettenstatt,49.0760889746,11.0629473687,1,856,15.849201
90408,Nürnberg,49.4660459918,11.0761939828,1,14165,1.343234
96242,Sonnefeld,50.2370883069,11.1486573842,1,4960,34.717554
96279,Weidhausen b. Coburg,50.1995995821,11.1501928701,0,3154,9.604409
86668,Karlshuld,48.6771322354,11.290698917,0,5146,29.169686
85122,Hitzhofen,48.8746401299,11.3158820653,0,2805,33.68583
96361,Steinbach a. Wald,50.4290157577,11.329650767,1,3321,36.120974
95490,Mistelgau,49.9070785636,11.4194519846,0,3800,40.52128
88448,Attenweiler,48.147342342,9.69006815538,0,1774,27.181025
73342,Bad Ditzenbach,48.587055998,9.69090690647,1,3545,25.410152
30982,Pattensen,52.2382184999,9.76268720094,0,13750,66.923894
30179,Hannover,52.4172729458,9.74673387321,4,15576,8.309248
73527,"Schwäbisch Gmünd, Täferrot",48.8254976609,9.81032460666,2,19935,49.415161
97772,Wildflecken,50.3659513899,9.85580502677,3,3119,104.273792
97274,Leinach,49.8528216065,9.79486821371,0,3107,28.026256
97990,Weikersheim,49.4828580504,9.91209861475,11,7356,80.889641
37297,Berkatal,51.2368799887,9.91470470789,0,1697,19.57124
88178,Heimenkirch,47.633461051,9.90415608489,0,3653,21.311043
